ADATE,Year,Month,Day,Anamolytype,Anamoly,Date_x,Kp,ap,Date_y
1989-01-01,1989,1,1,ESD,1,1989-01-01,3.0,15.375,1989-01-01
1989-04-20,1989,4,20,ESD,1,1989-04-20,2.33325,10.125,1989-04-20
1989-05-02,1989,5,2,ESD,1,1989-05-02,3.291625,18.5,1989-05-02
1989-05-28,1989,5,28,ESD,1,1989-05-28,2.7498750000000003,13.5,1989-05-28
1989-06-19,1989,6,19,SEU,1,1989-06-19,2.041625,8.5,1989-06-19
1989-08-31,1989,8,31,ESD,1,1989-08-31,1.541625,6.125,1989-08-31
1990-09-15,1990,9,15,ESD,1,1990-09-15,3.541625,21.875,1990-09-15
1990-10-20,1990,10,20,SEU,1,1990-10-20,3.3748750000000003,23.375,1990-10-20
1990-10-27,1990,10,27,ESD,1,1990-10-27,1.91675,7.75,1990-10-27
1986-04-18,1986,4,18,UNK,1,1986-04-18,1.583375,7.125,1986-04-18
1985-03-16,1985,3,16,UNK,1,1985-03-16,2.416625,10.625,1985-03-16
1987-05-09,1987,5,9,UNK,1,1987-05-09,1.16675,4.5,1987-05-09
1987-10-21,1987,10,21,UNK,1,1987-10-21,2.70825,13.375,1987-10-21
1989-08-13,1989,8,13,UNK,1,1989-08-13,2.25,9.25,1989-08-13
1989-09-29,1989,9,29,UNK,1,1989-09-29,2.0415,8.25,1989-09-29
1989-10-19,1989,10,19,UNK,1,1989-10-19,3.416625,24.5,1989-10-19
1986-03-28,1986,3,28,UNK,1,1986-03-28,2.91675,14.5,1986-03-28
1988-01-22,1988,1,22,UNK,1,1988-01-22,1.708375,6.625,1988-01-22
1990-06-28,1990,6,28,UNK,1,1990-06-28,1.833375,7.25,1990-06-28
1985-03-23,1985,3,23,UNK,1,1985-03-23,1.25,5.25,1985-03-23
1985-03-28,1985,3,28,UNK,1,1985-03-28,2.58325,14.125,1985-03-28
1985-05-03,1985,5,3,UNK,1,1985-05-03,1.66675,6.375,1985-05-03
1985-08-01,1985,8,1,UNK,1,1985-08-01,3.1665,17.5,1985-08-01
1986-02-23,1986,2,23,UNK,1,1986-02-23,4.375125,35.375,1986-02-23
1994-02-22,1994,2,22,ESD,1,1994-02-22,4.75,63.25,1994-02-22
1988-10-24,1988,10,24,UNK,1,1988-10-24,1.5835,6.125,1988-10-24
1988-03-11,1988,3,11,UNK,1,1988-03-11,2.791625,14.0,1988-03-11
1989-08-16,1989,8,16,UNK,1,1989-08-16,3.625,26.125,1989-08-16
1980-09-01,1980,9,1,UNK,1,1980-09-01,1.666625,7.375,1980-09-01
1980-10-01,1980,10,1,UNK,1,1980-10-01,0.583375,2.375,1980-10-01
1981-05-01,1981,5,1,UNK,1,1981-05-01,2.91675,15.875,1981-05-01
1981-08-01,1981,8,1,UNK,1,1981-08-01,3.208375,17.875,1981-08-01
1983-03-01,1983,3,1,UNK,1,1983-03-01,3.4998750000000003,20.875,1983-03-01
1983-06-01,1983,6,1,UNK,1,1983-06-01,2.54175,12.375,1983-06-01
1984-03-01,1984,3,1,UNK,1,1984-03-01,3.2915,31.5,1984-03-01
1984-12-01,1984,12,1,UNK,1,1984-12-01,2.833375,15.25,1984-12-01
1991-03-26,1991,3,26,UNK,1,1991-03-26,6.5,113.875,1991-03-26
