ADATE,Year,Month,Day,Anamolytype,Anamoly,Kp,ap,Date
1963-08-16,1963,8,16,NA,0,1.5,5.625,1963-08-16
1963-08-17,1963,8,17,NA,0,1.95825,9.0,1963-08-17
1963-08-18,1963,8,18,NA,0,3.4998750000000003,26.25,1963-08-18
1963-08-19,1963,8,19,NA,0,3.000125,24.125,1963-08-19
1963-08-20,1963,8,20,NA,0,4.91675,57.75,1963-08-20
1963-08-21,1963,8,21,NA,0,3.79175,27.125,1963-08-21
1963-08-22,1963,8,22,NA,0,2.0,8.375,1963-08-22
1963-08-23,1963,8,23,NA,0,3.041625,18.25,1963-08-23
1963-08-24,1963,8,24,NA,0,2.16675,9.25,1963-08-24
1963-08-25,1963,8,25,NA,0,2.0,8.0,1963-08-25
1963-08-26,1963,8,26,NA,0,2.33325,9.625,1963-08-26
1963-08-27,1963,8,27,NA,0,2.708375,15.75,1963-08-27
1963-08-28,1963,8,28,NA,0,3.79175,26.0,1963-08-28
1963-08-29,1963,8,29,NA,0,2.9165,15.0,1963-08-29
1963-08-30,1963,8,30,NA,0,2.375,10.125,1963-08-30
1963-08-31,1963,8,31,NA,0,3.083375,17.25,1963-08-31
1963-09-01,1963,9,1,NA,0,2.83325,15.0,1963-09-01
1963-09-02,1963,9,2,NA,0,1.666625,7.5,1963-09-02
1963-09-03,1963,9,3,NA,0,2.29175,9.25,1963-09-03
1963-09-04,1963,9,4,NA,0,1.291625,5.0,1963-09-04
1963-09-05,1963,9,5,NA,0,2.08325,9.25,1963-09-05
1963-09-06,1963,9,6,NA,0,2.08325,8.875,1963-09-06
1963-09-07,1963,9,7,NA,0,1.166625,4.875,1963-09-07
1963-09-08,1963,9,8,NA,0,2.6248750000000003,14.875,1963-09-08
1963-09-09,1963,9,9,NA,0,2.666625,13.75,1963-09-09
1963-09-10,1963,9,10,NA,0,2.125,8.625,1963-09-10
1963-09-11,1963,9,11,NA,0,3.291625,20.0,1963-09-11
1963-09-12,1963,9,12,NA,0,2.583375,13.25,1963-09-12
1963-09-13,1963,9,13,NA,0,1.54175,8.25,1963-09-13
1963-09-14,1963,9,14,NA,0,5.875,81.75,1963-09-14
1963-09-15,1963,9,15,NA,0,4.45825,36.0,1963-09-15
1963-09-16,1963,9,16,NA,0,4.3335,33.375,1963-09-16
1963-09-17,1963,9,17,NA,0,4.583375,43.25,1963-09-17
1963-09-18,1963,9,18,NA,0,2.83325,14.75,1963-09-18
1963-09-19,1963,9,19,NA,0,3.79175,25.75,1963-09-19
1963-09-20,1963,9,20,NA,0,2.791625,13.25,1963-09-20
1963-09-21,1963,9,21,NA,0,4.083375,44.5,1963-09-21
1963-09-22,1963,9,22,NA,0,6.208375,125.75,1963-09-22
1963-09-23,1963,9,23,NA,0,4.5832500000000005,78.5,1963-09-23
1963-09-24,1963,9,24,NA,0,2.583375,18.125,1963-09-24
1963-09-25,1963,9,25,NA,0,5.0,60.125,1963-09-25
1963-09-26,1963,9,26,NA,0,3.83325,27.0,1963-09-26
1963-09-27,1963,9,27,NA,0,3.874875,34.125,1963-09-27
1963-09-28,1963,9,28,NA,0,4.875,48.125,1963-09-28
1963-09-29,1963,9,29,NA,0,3.333375,18.625,1963-09-29
1963-09-30,1963,9,30,NA,0,2.41675,12.0,1963-09-30
1963-10-01,1963,10,1,NA,0,0.8335,3.5,1963-10-01
1963-10-02,1963,10,2,NA,0,0.624875,2.625,1963-10-02
1963-10-03,1963,10,3,NA,0,1.04175,4.125,1963-10-03
1963-10-04,1963,10,4,NA,0,1.541875,6.0,1963-10-04
1963-10-05,1963,10,5,NA,0,1.83325,8.0,1963-10-05
1963-10-06,1963,10,6,NA,0,1.08325,4.625,1963-10-06
1963-10-07,1963,10,7,NA,0,2.125,11.125,1963-10-07
1963-10-08,1963,10,8,NA,0,2.875125,15.875,1963-10-08
1963-10-09,1963,10,9,NA,0,1.500125,5.875,1963-10-09
1963-10-10,1963,10,10,NA,0,2.08325,9.25,1963-10-10
1963-10-11,1963,10,11,NA,0,3.375,21.625,1963-10-11
1963-10-12,1963,10,12,NA,0,4.541625,39.25,1963-10-12
1963-10-13,1963,10,13,NA,0,3.66675,24.125,1963-10-13
1963-10-14,1963,10,14,NA,0,4.166625,30.625,1963-10-14
1963-10-15,1963,10,15,NA,0,3.04175,16.0,1963-10-15
1963-10-16,1963,10,16,NA,0,3.041625,16.5,1963-10-16
1963-10-17,1963,10,17,NA,0,1.208375,5.0,1963-10-17
1963-10-18,1963,10,18,NA,0,1.4165,5.375,1963-10-18
1963-10-19,1963,10,19,NA,0,1.333375,5.125,1963-10-19
1963-10-20,1963,10,20,NA,0,2.666625,13.25,1963-10-20
